brand_encoded_scaled,category_encoded_scaled,log_reviews_scaled,log_wishlist_scaled,log_price_scaled,wishlist_review_ratio_scaled,popularity_score_scaled,average_rating_scaled,product_name,brand_name,default_category,average_rating,total_reviews,total_in_wishlist,price_numeric
-1.571991970456228,1.416725625928982,-0.5470495440587096,0.010844209093717475,0.0061002816695399815,1.0926564270469015,8.457293869931224e-05,0.33787433822563184,Orange Blossom Sunscreen,Breylee,Sunscreen,4.727272727272728,10,203,120000
-1.571991970456228,-0.8802095847954617,-0.8511496541374579,-0.654042971510703,0.0061002816695399815,1.0926564270469015,-0.5284596682792292,0.2323206814861475,Aloe Vera Eye Mask,Breylee,Eye Mask,4.7,5,62,120000
-1.571991970456228,-0.25377270914334077,0.3668587549461417,0.6146680291793825,-0.45559215984660284,0.7124744223704543,0.49134551712633057,0.047219341406772045,Tea Tree Acne Treatment Cream,Breylee,Face Serum,4.652173913043479,67,592,80000
-1.571991970456228,-1.8546669469209833,0.2322699262165381,0.48192000913918537,-0.45559215984660284,0.7988794234332834,0.14156256005931311,-0.24964129834317655,Tea Tree Acne Treatment Cream,Breylee,Acne Treatment  Sealing Gel  C,4.575471698113208,51,468,80000
-1.571991970456228,1.2079133340449415,-0.4632380199152096,-0.6277187588640087,-1.7800236551594373,-0.3762285910211893,-0.9180728481706786,-0.5417394679367113,Retionl Lifting Serum Facial Mask,Breylee,Sheet Mask,4.5,12,65,25000
-1.571991970456228,1.416725625928982,0.3668587549461417,0.6297336385067187,0.0061002816695399815,0.7815984232207177,-0.4405273212126035,-1.191397093345181,UV Sunscreen SPF 50+ - Krim Pelindung Wajah,Breylee,Sunscreen,4.332142857142857,67,608,120000
-1.571991970456228,-1.8546669469209833,0.584824920918592,1.1601858997286292,-0.2015047095994175,1.0926564270469015,0.3425999316726035,-0.614764010335095,"Krim Penghilang Noda Bekas Jerawat, Luka & Stretch Mark",Breylee,Acne Treatment  Sealing Gel  C,4.481132075471698,104,1554,100000
-1.571991970456228,-1.5066464604475829,-0.5470495440587096,-0.7518492791299269,-2.0341025657467187,-0.4563495920067214,-0.5747143320828009,0.03880564413043367,Orange Blossom Clay Mask,Breylee,Clay Mask,4.65,10,52,20000
-1.571991970456228,-0.18416861184866065,-1.1989036272033318,-1.8218219907236164,-0.45559215984660284,-1.1596339339908377,-3.28068961870344,-2.4768898414938567,Tea Tree Acne Treatment Facial Cleanser,Breylee,Face Wash,4.0,2,7,80000
-1.571991970456228,-0.25377270914334077,0.3123568383580795,0.477073139889097,-0.45559215984660284,0.38951802495529075,-0.2516063016030537,-0.8158857708573051,Serum Penumbuh Rambut - Mencegah Kerontokan,Breylee,Face Serum,4.429166666666667,60,464,80000
-1.571991970456228,-1.9242710442156634,1.3894095447828678,1.2633559302116055,-1.5724243570563836,-0.7955080310444564,0.5792384127721527,-0.8710480401099163,Sticker Jerawat,Breylee,Acne  Pimple Patch,4.41491395793499,521,1865,30000
-1.571991970456228,-0.25377270914334077,-0.13516119364882573,0.10750458738144171,0.2601886808034068,0.9868967057459992,-0.975981107333236,-1.2674208580206408,Eyelash Care Serum,Breylee,Face Serum,4.3125,24,241,150000
-1.571991970456228,-0.25377270914334077,0.5603467524829222,0.8130533942876609,-0.2015047095994175,0.6255509913012487,0.16973415915186454,-0.6183790866914498,Vitamin C Serum - Mencerahkan Wajah,Breylee,Face Serum,4.48019801980198,99,841,100000
-1.571991970456228,-0.25377270914334077,0.7704149553039298,1.0772467604198146,-0.45559215984660284,0.7486280938677962,0.13909222274036076,-0.9501315922263679,Serum Mata Roll On Retinol - Menyamarkan Kerutan Halus,Breylee,Face Serum,4.39448051948052,151,1342,80000
-1.571991970456228,-0.25377270914334077,1.0473893819251165,1.3848752232035624,-0.45559215984660284,0.7276607558905881,0.23040386363473916,-1.1892422545261747,Serum Mata Roll On Vitamin C - Mencerahkan,Breylee,Face Serum,4.332699619771863,263,2312,80000
-1.571991970456228,-0.25377270914334077,0.04778132571462083,0.3628434376476983,-0.2015047095994175,1.0926564270469015,-0.20122036151693465,-0.5140944626001808,Hyaluronic Acid Serum - Melembabkan Wajah,Breylee,Face Serum,4.507142857142857,35,379,100000
-1.571991970456228,-0.25377270914334077,0.35942598296410366,0.6079485614573458,-0.45559215984660284,0.7199542582833562,-0.27274834395968384,-0.9522259108124708,Serum Mata Roll On Hyaluronic Acid - Melembabkan,Breylee,Face Serum,4.393939393939394,66,585,80000
0.5325905251210027,-0.25377270914334077,0.8770576540605189,1.1802060783606603,-0.21294876496547954,0.6707426452613864,0.6124383395846704,-0.45470889558096467,Glowing Underarm,Brighty,Face Serum,4.522486772486773,187,1610,99000
0.5325905251210027,-1.2282300712688623,0.11302936152343875,0.13932887385505005,-0.2599110341123016,-0.01796395246799631,-0.022227998806266296,-0.18437720383033945,Good Body Odor,Brighty,Deodorant,4.592334494773519,40,255,95000
0.5325905251210027,-1.645854655036943,0.6601108114239533,1.1139513873364646,-0.5290802806702558,1.0926564270469015,0.5960843143339535,-0.2998456712420681,Underarm Scrub,Brighty,Body Care,4.5625,121,1432,75000
0.5325905251210027,-1.645854655036943,-0.4260578329720946,0.31468840497898587,-0.38656062727949625,1.0926564270469015,0.15033457036608572,0.27697799779900456,AHA HERO Exfoliating Liquid,Brighty,Body Care,4.711538461538462,13,348,85000
0.5325905251210027,-1.2282300712688623,-1.054572687857789,-1.1770519931596777,-0.2599110341123016,-0.08245158740757108,-1.6953250398801876,-0.8642645301962378,Good Body Odor For Sensitive Skin,Brighty,Deodorant,4.416666666666666,3,24,95000
0.5325905251210027,-0.18416861184866065,-1.4023266609236626,-1.9846122208322707,0.6035971057367269,-1.1106711000552347,-0.5187201467708825,1.393410905620434,Artemisia pH Balance Cleansing Foam,Bringgreen,Face Wash,5.0,1,5,202800
0.5325905251210027,1.5559338205183422,-1.1989036272033318,-2.606282336555083,-1.527765764656847,-1.7471879412180742,-1.072115072520087,0.9096233122311477,Fresh Bowl Pack Aloe,Bringgreen,Wash Off Mask,4.875,2,1,31200
0.5325905251210027,1.5559338205183422,-1.4023266609236626,-2.376842393748004,-1.527765764656847,-1.5513366054756619,-0.6977550333099991,1.393410905620434,Fresh Bowl Pack Black Sugar,Bringgreen,Wash Off Mask,5.0,1,2,31200
0.5325905251210027,-0.18416861184866065,-1.1989036272033318,-1.5470883989600883,0.6035971057367269,-0.6700055946348074,-0.2219786797967463,1.393410905620434,Tea Tree Cica Trouble Cleansing Foam,Bringgreen,Face Wash,5.0,2,12,202800
0.5325905251210027,-0.8106054875007817,-0.9426209138191811,-0.13374932367470718,0.7218833363946242,1.0926564270469015,0.2846526284995423,1.0493841725436095,Brow-Nificent,Buttonscarves,Eyebrows,4.911111111111111,4,157,225000
0.5325905251210027,0.3030600692141001,-0.4260578329720946,-0.1862515863622587,1.140604605941279,1.0926564270469015,0.4325899949864618,0.9510908202359453,Everyday Intense Lip Cream,Buttonscarves,Lip Cream,4.885714285714286,13,143,325000
0.5325905251210027,0.5118723610981405,-0.6477266204171266,0.20597858655347465,1.03032348245892,1.0926564270469015,0.18927858609926734,0.533344072928369,Everyday Velvet Rouge Lipstick,Buttonscarves,Lipstick,4.777777777777778,8,287,295000
0.5325905251210027,-1.7154587523316231,-1.4023266609236626,-1.0030560795448278,1.03032348245892,1.0926564270469015,-0.07068528224014034,1.393410905620434,Everyday Thunderblush Cheek,Buttonscarves,Blush,5.0,1,33,295000
0.5325905251210027,1.3471215286343017,-1.4023266609236626,-1.0553272339892843,0.950383201032805,1.0926564270469015,-0.09454464047274197,1.393410905620434,Easy Peasy Blending Makeup Sponge Set,Buttonscarves,Sponge  Applicators,5.0,1,30,275000
0.5325905251210027,0.9294969448662211,-0.6477266204171266,-0.289421616845235,1.4460720579530542,1.0926564270469015,0.5311887467778823,1.2828308842743152,Everyday Perfect Blurring Compact Powder,Buttonscarves,Pressed Powder,4.971428571428572,8,119,425000
0.5325905251210027,0.859892847571541,-1.1989036272033318,-1.3629421051094588,0.22158574171009834,-0.18037725527877704,-3.4378957029911663,-2.960677434883143,Bare With Me Cleansing Balm,Buttonscarves,Cleansing Balm,3.875,2,17,145000
0.5325905251210027,-1.576250557742263,-1.1989036272033318,-0.24412796788878577,2.391576008803842,1.0926564270469015,0.37276233976251355,1.393410905620434,Everyday Brush Set,Buttonscarves,Brush Set,5.0,2,129,975000
0.5325905251210027,-1.1586259739741822,-0.7738118060379683,-0.16693679238212406,1.4460720579530542,1.0926564270469015,0.12187932526406674,0.7483607811013844,Cairo Eau De Perfume,Buttonscarves,Eau De Parfum,4.833333333333333,6,148,425000
0.5325905251210027,-1.1586259739741822,-0.5948669407533071,0.021832292702844865,1.4460720579530542,1.0926564270469015,-1.1034134527867203,-1.0946395746673223,Bilbao Eau De Perfume,Buttonscarves,Eau De Parfum,4.357142857142858,9,207,425000
0.5325905251210027,-1.1586259739741822,-0.7068187147919153,-0.8571587016710875,1.4460720579530542,-0.26606221466608243,-0.29455165562215463,0.5724380198689185,Venice Eau De Perfume,Buttonscarves,Eau De Parfum,4.787878787878788,7,43,425000
0.5325905251210027,-1.1586259739741822,-0.1556417080057102,0.3760893395254761,1.4460720579530542,1.0926564270469015,0.10329872936332367,0.007747675172111898,Colmar Eau De Perfume,Buttonscarves,Eau De Parfum,4.641975308641976,23,388,425000
