brand_name,product_name,product_id,beauty_point_earned,price_range,price_by_combinations,url,active_date,default_category,categories,rating_types_str,average_rating,total_reviews,average_rating_by_types,total_recommended_count,total_repurchase_maybe_count,total_repurchase_no_count,total_repurchase_yes_count,total_in_wishlist,brand_name_clean,category_clean,price_numeric,log_reviews,log_wishlist,log_price,review_wishlist_ratio,popularity_score,brand_limited,category_limited,brand_encoded,category_encoded,price_tier,brand_encoded_scaled,category_encoded_scaled,log_reviews_scaled,log_wishlist_scaled,log_price_scaled,review_wishlist_ratio_scaled,popularity_score_scaled,average_rating_scaled
Garnier,Serum Mask Bright Up,35437,0,Rp 23.500,,https://www.sociolla.com/sheet-mask/13522-garnier-serum-mask-bright-up,2023-06-28T07:24:01.818Z,Sheet Mask,Skincare; Face Mask; Sheet Mask,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.6288793103448285,1740,"""star_effectiveness"": 4.637931034482759; ""star_packaging"": 4.722988505747127; ""star_texture"": 4.624712643678161; ""star_value_for_money"": 4.529885057471264",1700,271,63,1406,696,Garnier,Sheet Mask,1000,7.462214939768189,6.546785410760524,6.90875477931522,1.1398288582214766,6.054251829296545,Garnier,Sheet Mask,17,25,Budget,-1.2036897710967562,0.8774744012053984,2.171662707455477,0.7939514092923324,2.6645352591003757e-15,0.9413943772207799,1.665760649139702,-0.051341869012657006
Whitelab,Whitelab Brightening Booster Serum - Niacinamide 5%,89534,10,Rp 76.900,"""New Packaging"": 76900",https://www.sociolla.com/face-serum/61192-brightening-booster-serum-niacinamide-5,2022-11-18T06:19:18.324Z,Face Serum,Skincare; Treatment; Face Serum,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.693076923076923,322,"""star_effectiveness"": 4.550769230769231; ""star_packaging"": 4.75076923076923; ""star_texture"": 4.729230769230769; ""star_value_for_money"": 4.741538461538462",309,49,22,254,1857,Whitelab,Face Serum,1000,5.777652323222656,7.527255919373784,6.90875477931522,0.7675642206281353,5.868703242009701,Whitelab,Face Serum,49,16,Budget,1.6185513295345253,-0.25104860022374376,1.2744234693666927,1.3905097421962063,2.6645352591003757e-15,0.20852088312028194,1.473705156215577,0.1959939790830954
Safi,Expert Solutions Eye Therapy Serum,84591,30,Rp 198.900,"""15 gr"": 198900",https://www.sociolla.com/eye-care/56249-expert-solutions-eye-therapy-serum,,Face Serum,Skincare; Treatment; Face Serum,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.568181818181818,11,"""star_effectiveness"": 4.545454545454546; ""star_packaging"": 4.7272727272727275; ""star_texture"": 4.636363636363637; ""star_value_for_money"": 4.363636363636363",11,3,0,8,197,Safi,Face Serum,1000,2.4849066497880004,5.288267030694535,6.90875477931522,0.46989053982428053,4.159224831417488,Safi,Face Serum,40,16,Budget,0.8247960199819773,-0.25104860022374376,-0.47937338581408134,0.028217386549593694,2.6645352591003757e-15,-0.3775061753799413,-0.295722051989936,-0.2851927096050219
Hada-labo,Gokujyun Premium,84434,10,Rp 96.000,"""100 ml"": 96000",https://www.sociolla.com/toner/56092-gokujyun-premium,2022-10-14T02:37:53.200Z,Toner,Skincare; Treatment; Toner,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.780172413793103,116,"""star_effectiveness"": 4.862068965517241; ""star_packaging"": 4.663793103448276; ""star_texture"": 4.7844827586206895; ""star_value_for_money"": 4.810344827586207",112,11,2,103,423,Hada-labo,Toner,1000,4.762173934797756,6.049733455231958,6.90875477931522,0.7871708679461425,5.155641182526155,Other,Toner,35,29,Budget,0.38382084800833954,1.3790401796183505,0.733554850665895,0.4915246831931258,2.6645352591003757e-15,0.24712028439685682,0.7356370990985817,0.5315490900106505
Avoskin,Miraculous Divine Aura Ampoule X Paola Serena,92251,60,Rp 320.800,,https://www.sociolla.com/ampoule/63909-miraculous-divine-aura-ampoule-x-paola-serena,2023-09-04T03:42:12.651Z,Ampoule,Skincare; Treatment; Ampoule,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.707831325301205,83,"""star_effectiveness"": 4.698795180722891; ""star_packaging"": 4.855421686746988; ""star_texture"": 4.783132530120482; ""star_value_for_money"": 4.493975903614458",80,7,3,73,638,Avoskin,Ampoule,1000,4.430816798843313,6.459904454377535,6.90875477931522,0.6858950980057892,5.1503489060867365,Avoskin,Other,2,23,Budget,-2.5266152870176697,0.6266915119989224,0.5570659381856209,0.7410894842822306,2.6645352591003757e-15,0.04773973655931338,0.7301592306053443,0.25283865650930615
The-aubree,Ceramide soft cream,70946,10,Rp 69.000,"""15 gr"": 69000",https://www.sociolla.com/face-cream-lotion/24126-ceramide-soft-cream,2023-09-22T07:14:31.298Z,Face Cream,Skincare; Moisturizer; Face Cream & Lotion,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.465988920320603,505,"""star_effectiveness"": 4.2976190476190474; ""star_packaging"": 4.437623762376238; ""star_texture"": 4.546534653465346; ""star_value_for_money"": 4.582178217821782",448,126,82,297,3131,The-aubree,Face Cream,1000,6.226536669287466,8.049427057110695,6.90875477931522,0.7735378710944494,6.06918468604769,Other,Face Cream,35,14,Budget,0.38382084800833954,-0.5018314894302198,1.5135102475590576,1.7082200054650447,2.6645352591003757e-15,0.220281146244079,1.6812171783757495,-0.6789140021295023
Gladglow,Volcano 3D Acid Pore Clay Mask,108578,0,Rp 39.000,,https://www.sociolla.com/clay-mask/80236-volcano-3d-acid-pore-clay-mask,2023-11-29T04:10:01.521Z,Clay Mask,Skincare; Face Mask; Clay Mask,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.875,2,"""star_effectiveness"": 5; ""star_packaging"": 4.5; ""star_texture"": 5; ""star_value_for_money"": 5",2,0,0,2,11,Gladglow,Clay Mask,1000,1.0986122886681098,2.4849066497880004,6.90875477931522,0.4421141086977403,3.0250556815368332,Other,Clay Mask,35,4,Budget,0.38382084800833954,-1.7557459354626,-1.2177476582342295,-1.6774616529226953,2.6645352591003757e-15,-0.4321893444957431,-1.4696647821651139,0.8968938506520435
Erha,Age Corrector Day Cream 30g - Peptides & Hyaluronate,35713,40,Rp 201.600,"""30 gr"": 201600",https://www.sociolla.com/face-cream-lotion/13928-erha-age-corrector-day-moisturizer,2023-09-21T03:06:42.391Z,Face Cream,Skincare; Moisturizer; Face Cream & Lotion,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.5,37,"""star_effectiveness"": 4.4324324324324325; ""star_packaging"": 4.702702702702703; ""star_texture"": 4.5675675675675675; ""star_value_for_money"": 4.297297297297297",35,9,2,26,220,Erha,Face Cream,1000,3.6375861597263857,5.3981627015177525,6.90875477931522,0.6738563398068085,4.510724658373242,Other,Face Cream,35,14,Budget,0.38382084800833954,-0.5018314894302198,0.13457190485046153,0.09508240452180768,2.6645352591003757e-15,0.024039159349086788,0.06810433718310892,-0.5478786118843705
Dear-me-beauty,Hypergloss Lip Balm,106491,10,Rp 89.000,,https://www.sociolla.com/lip-balm/78149-hypergloss-lip-balm,2023-09-04T05:04:31.739Z,Lip Balm,Skincare; Lip Care; Lip Balm,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.776570048309178,207,"""star_effectiveness"": 4.7101449275362315; ""star_packaging"": 4.835748792270532; ""star_texture"": 4.855072463768116; ""star_value_for_money"": 4.705314009661835",205,23,4,180,1434,Dear-me-beauty,Lip Balm,1000,5.337538079701318,7.268920128193722,6.90875477931522,0.7342958769073255,5.692565481692183,Dear-me-beauty,Lip Balm,9,20,Budget,-1.9092500462545767,0.2505171781892083,1.0400078622229887,1.2333276877010113,2.6645352591003757e-15,0.1430258431851688,1.2913905135929606,0.5176701608075407
Jumiso,AC Spot Cream,86676,70,Rp 380.000,"""15gr"": 380000",https://www.sociolla.com/acne-blemish-treatments/58334-ac-spot-cream,,Acne Treatment / Sealing Gel / Cream,Skincare; Treatment; Sealing / Treatment Gel / Cream,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.625,4,"""star_effectiveness"": 4.25; ""star_packaging"": 4.75; ""star_texture"": 4.75; ""star_value_for_money"": 4.75",3,1,1,2,39,Jumiso,Acne Treatment / Sealing Gel / Cream,1000,1.6094379124341003,3.6888794541139363,6.90875477931522,0.43629452587267725,3.4394952099644107,Other,Acne Treatment / Sealing Gel / Cream,35,0,Budget,0.38382084800833954,-2.257311713875552,-0.9456694410386521,-0.9449153879400456,2.6645352591003757e-15,-0.44364629626742946,-1.0406914922938635,-0.06628779103889917
Confitty,Crystal Clear Magic Lipgloss,91038,10,Rp 99.000,,https://www.sociolla.com/lip-gloss/62696-crystal-clear-magic-lipgloss,2022-08-29T02:51:17.620Z,Lip Gloss,Makeup; Lips; Lip Gloss,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.620930232558139,81,"""star_long_wear"": 4.4186046511627906; ""star_packaging"": 4.941860465116279; ""star_pigmentation"": 4.383720930232558; ""star_texture"": 4.6976744186046515; ""star_value_for_money"": 4.662790697674419",83,13,8,65,1072,Confitty,Lip Gloss,1000,4.406719247264253,6.9782137426306985,6.90875477931522,0.6314967425464637,5.263851989991741,Other,Other,35,23,Budget,0.38382084800833954,0.6266915119989224,0.5442309930157352,1.056450040477056,2.6645352591003757e-15,-0.05935373623609959,0.8476426943521446,-0.08196749218270576
