brand_name,product_name,product_id,beauty_point_earned,price_range,price_by_combinations,url,active_date,default_category,categories,rating_types_str,average_rating,total_reviews,average_rating_by_types,total_recommended_count,total_repurchase_maybe_count,total_repurchase_no_count,total_repurchase_yes_count,total_in_wishlist,price_numeric
Skinaqua,Skin Aqua Tone Up,84482,10,Rp 86.000,"""40 ml"": 86000",https://www.sociolla.com/sunscreen/56140-skin-aqua-tone-up,,Sunscreen,Skincare; Sunscreen; Sun Care,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.621234939759036,332,"""star_effectiveness"": 4.566265060240964; ""star_packaging"": 4.795180722891566; ""star_texture"": 4.490963855421687; ""star_value_for_money"": 4.632530120481928",312,58,25,249,1466,86000
Skinaqua,UV Mild Milk,30804,10,Rp 68.000,"""Non Specify"": 68000",https://www.sociolla.com/sunscreen/7361-uv-mild-milk-,2023-10-13T11:07:44.577Z,Sunscreen,Skincare; Sunscreen; Sun Care,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.5816047421542985,448,"""star_effectiveness"": 4.475972540045767; ""star_packaging"": 4.665178571428571; ""star_texture"": 4.589285714285714; ""star_value_for_money"": 4.595982142857143",424,83,51,314,1206,68000
Skinaqua,UV Moisture Gel,30805,10,Rp 68.000,"""40 gr"": 68000",https://www.sociolla.com/sunscreen/7363-moisture-gel-,2023-07-14T11:02:19.960Z,Sunscreen,Skincare; Sun Care; Sunscreen,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.587304485694944,889,"""star_effectiveness"": 4.490950226244344; ""star_packaging"": 4.664791901012373; ""star_texture"": 4.556805399325085; ""star_value_for_money"": 4.636670416197975",828,150,84,655,1375,68000
Skingame,Kind Cream Moisturizer,107976,30,Rp 138.000 - Rp 168.000,,https://www.sociolla.com/face-cream-lotion/79634-kind-cream-moisturizer,2023-11-02T08:49:31.582Z,Face Cream,Skincare; Moisturizer; Face Cream & Lotion,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.375,2,"""star_effectiveness"": 5; ""star_packaging"": 4; ""star_texture"": 4.5; ""star_value_for_money"": 4",2,1,0,1,79,153000
Skingame,Kind Watery Moisturizer,107975,30,Rp 138.000 - Rp 168.000,,https://www.sociolla.com/face-cream-lotion/79633-kind-watery-moisturizer,2023-11-02T08:48:47.251Z,Face Cream,Skincare; Moisturizer; Face Cream & Lotion,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.777777777777778,9,"""star_effectiveness"": 4.666666666666667; ""star_packaging"": 4.777777777777778; ""star_texture"": 4.888888888888889; ""star_value_for_money"": 4.777777777777778",8,0,1,8,126,153000
Skingame,Purity Micellar Water,107981,20,Rp 148.000,,https://www.sociolla.com/micellar-water/79639-purity-micellar-water,2023-11-02T08:50:45.734Z,Micellar Water,Skincare; Cleanser; Micellar Water,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,5.0,1,"""star_effectiveness"": 5; ""star_packaging"": 5; ""star_texture"": 5; ""star_value_for_money"": 5",1,0,0,1,18,148000
Skingame,Kind Hydrating Facial Wash,107982,20,Rp 68.000 - Rp 128.000,,https://www.sociolla.com/face-wash/79640-kind-hydrating-facial-wash,2023-11-02T08:50:57.522Z,Face Wash,Skincare; Cleanser; Face Wash,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,5.0,1,"""star_effectiveness"": 5; ""star_packaging"": 5; ""star_texture"": 5; ""star_value_for_money"": 5",1,0,0,1,22,98000
Skingame,Kind Extra Hydrating Toner,107980,30,Rp 168.000,,https://www.sociolla.com/toner/79638-kind-extra-hydrating-toner,2023-11-02T08:50:33.748Z,Toner,Skincare; Treatment; Toner,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,5.0,2,"""star_effectiveness"": 5; ""star_packaging"": 5; ""star_texture"": 5; ""star_value_for_money"": 5",2,0,0,2,52,168000
Skingame,Acne Warrior Gel,107977,20,Rp 128.000,,https://www.sociolla.com/acne-pimple-patch/79635-acne-warrior-gel,2023-11-02T08:49:47.303Z,Acne  Pimple Patch,Skincare; Treatment; Acne / Pimple Patch,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.5,1,"""star_effectiveness"": 5; ""star_packaging"": 3; ""star_texture"": 5; ""star_value_for_money"": 5",1,1,0,0,1,128000
Skingame,Acne Warrior Paste,107978,20,Rp 128.000,,https://www.sociolla.com/acne-pimple-patch/79636-acne-warrior-paste,2023-11-02T08:49:59.438Z,Acne  Pimple Patch,Skincare; Treatment; Acne / Pimple Patch,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.25,1,"""star_effectiveness"": 5; ""star_packaging"": 5; ""star_texture"": 3; ""star_value_for_money"": 4",1,0,0,1,38,128000
Skintheory,Multi Use Spray,88809,40,Rp 99.000 - Rp 249.000,,https://www.sociolla.com/face-mist/60467-multi-use-spray,2022-05-01T23:13:04.630Z,Face Mist,Skincare; Moisturizer; Face Mist,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.626618122977346,618,"""star_effectiveness"": 4.574433656957929; ""star_packaging"": 4.766990291262136; ""star_texture"": 4.783171521035599; ""star_value_for_money"": 4.381877022653722",576,107,51,460,4477,174000
Skintheory,Antioxidant Suncream,88810,20,Rp 139.000,,https://www.sociolla.com/sunscreen/60468-antioxidant-suncream,2022-10-06T05:31:32.719Z,Sunscreen,Skincare; Sunscreen; Sun Care,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.7002487562189055,201,"""star_effectiveness"": 4.776119402985074; ""star_packaging"": 4.781094527363184; ""star_texture"": 4.82089552238806; ""star_value_for_money"": 4.422885572139304",192,32,15,154,1186,139000
Skintheory,Daily Peel Pad Extra Strong,97905,10,Rp 99.000,"""2.2 ml each step"": 99000",https://www.sociolla.com/default-category/69563-daily-peel-pad-extra-strong,2022-11-15T07:28:18.498Z,Peeling,Skincare; Cleanser; Peeling,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.888888888888888,18,"""star_effectiveness"": 4.944444444444445; ""star_packaging"": 4.944444444444445; ""star_texture"": 4.833333333333333; ""star_value_for_money"": 4.833333333333333",18,3,0,15,114,99000
Skintheory,Daily Peel Pad Mild,97903,10,Rp 99.000,"""2.2 ml each step"": 99000",https://www.sociolla.com/skincare/69561-daily-peel-pad-mild,2022-11-15T07:28:33.856Z,Peeling,Skincare; Cleanser; Peeling,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.818181818181818,11,"""star_effectiveness"": 4.818181818181818; ""star_packaging"": 4.7272727272727275; ""star_texture"": 4.7272727272727275; ""star_value_for_money"": 5",10,1,1,9,102,99000
Skintheory,Daily Peel Pad Strong,97904,10,Rp 99.000,"""2.2 ml each step"": 99000",https://www.sociolla.com/default-category/69562-daily-peel-pad-strong,2022-11-15T07:28:48.447Z,Peeling,Skincare; Cleanser; Peeling,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.75,5,"""star_effectiveness"": 4.6; ""star_packaging"": 4.8; ""star_texture"": 4.8; ""star_value_for_money"": 4.8",5,1,0,4,99,99000
Skintheory,Multicleanser,97906,30,Rp 150.000,,https://www.sociolla.com/face-wash/69564-multicleanser,2022-11-15T07:29:01.788Z,Face Wash,Skincare; Cleanser; Face Wash,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,5.0,3,"""star_effectiveness"": 5; ""star_packaging"": 5; ""star_texture"": 5; ""star_value_for_money"": 5",3,0,0,3,38,150000
Skin,SKIN1004 Madagascar Centella Ampoule Foam,63455,90,Rp 247.000 - Rp 476.000,"""125 ml"": 476000; ""20 ml"": 247000",https://www.sociolla.com/face-wash/43228-madagascar-centella-ampoule-foam,2022-05-25T03:54:34.114Z,Face Wash,Skincare; Cleanser; Face Wash,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.686781609195402,261,"""star_effectiveness"": 4.666666666666667; ""star_packaging"": 4.850574712643678; ""star_texture"": 4.773946360153257; ""star_value_for_money"": 4.4559386973180075",249,50,19,192,1685,361500
Skin,SKIN1004 Madagascar Centella Light Cleansing Oil,70727,120,Rp 267.000 - Rp 629.000,"""200 ml"": 629000; ""30 ml"": 267000",https://www.sociolla.com/cleansing-oil/23907-madagascar-centella-light-cleansing-oil,2022-05-13T15:08:24.601Z,Cleansing Oil,Skincare; Cleanser; Cleansing Oil,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.667705735660848,401,"""star_effectiveness"": 4.695760598503741; ""star_packaging"": 4.745635910224439; ""star_texture"": 4.768079800498753; ""star_value_for_money"": 4.461346633416459",388,82,22,297,3071,448000
Skin,SKIN1004 Madagascar Centella Poremizing Fresh Ampoule,98626,140,Rp 714.000,"""100 ml"": 714000",https://www.sociolla.com/ampoule/70284-madagascar-centella-poremizing-fresh-ampoule,2022-10-25T10:33:56.045Z,Ampoule,Skincare; Treatment; Ampoule,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.735869565217391,230,"""star_effectiveness"": 4.582608695652174; ""star_packaging"": 4.8652173913043475; ""star_texture"": 4.821739130434783; ""star_value_for_money"": 4.673913043478261",221,43,12,175,2389,714000
Skin,SKIN1004 Madagascar Centella Quick Calming Pad,95053,110,Rp 592.000,"""70 pads"": 592000",https://www.sociolla.com/acne-blemish-treatments/66711-madagascar-centella-quick-calming-pad,2022-05-12T06:58:35.803Z,Cotton Pad,Accessories; Facial; Cotton Pad,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,4.816152597402597,56,"""star_durability"": 4.909090909090909; ""star_eficiency"": 4.909090909090909; ""star_packaging"": 4.857142857142857; ""star_value_for_money"": 4.589285714285714",56,10,0,46,1061,592000
